stable_id,title_zh,abstract_zh
ec849118a0e726c5,镍在碱性电解液中析氢反应中各个镍表面物种的作用,"摘要
                  
                    镍表面物质在碱性条件下析氢反应（HER）中的作用仍然是开发具有成本效益且高效的可持续制氢催化剂的关键挑战。在这里，我们通过精心设计的实验系统地研究明确的镍表面，以揭示特定镍物种（NiO、Ni(OH)）的贡献
                    2
                    和镍氢
                    
                      x
                    
                    ）到她的动力学。通过详细的电化学和表面表征，结合密度泛函理论计算，我们证明，与大量文献相反，NiO充当被动的旁观者，阻挡活性位点而不改变内在活性；镍氢
                    
                      x
                    
                    通过改变Ni的电子结构来抑制HER；和镍(OH)
                    2
                    通过促进水解离并在金属镍附近创建新的高活性位点来促进 HER。我们的研究结果建立了一个统一的框架，用于理解镍基催化剂的内在活性，解决文献中的差异，并为下一代碱性水电解槽的设计提供见解。"
2233b6dd08276cb0,基于五层范德华异质结构的具有分级隧道势垒的高性能隧道结选择器,使用五个垂直堆叠的范德华层，可以创建隧道结选择器，该选择器具有高于 107 的非线性度、超过 1012 个周期的耐久性、小于 20 ns 的开关速度、最小的温度依赖性和较低的器件间变异性。
f3979e271a1c5053,通过非厄米耗散工程实现电可编程极化子对称性破缺,天然材料的光学响应受到晶体对称性的限制，限制了可重构纳米光子器件的设计。在这里，我们通过非厄米耗散工程演示了声子极化子的电可编程对称性破缺。在由 α-MoO3 和定向碳纳米管 (A-CNT) 组成的异质结构中，我们将 A-CNT 层识别为各向异性耗散介质。在过阻尼载流子动力学的驱动下，纳米管阻止了极化子杂化，而是施加邻近感应电阻耦合。因此，A-CNT 层充当可调谐动量空间损失滤波器，选择性地衰减沿特定晶体方向的传播。通过静电门控 A-CNT 来调节其 Drude 损耗，我们实现了极化子拓扑的连续和可逆调谐，从对称双曲线到非对称剪切波前的转变。与需要严格波矢量匹配的折射率工程不同，这种耗散滤波机制允许在没有相干杂化的情况下进行拓扑整形，将耗散建立为拓扑纳米光子学和非厄米器件物理中的可编程自由度。
e42f16c1bc86c9ba,用于废水处理中厌氧氨氧化-反硝化耦合的3D打印活性材料,硝酸盐积累限​​制了废水处理中厌氧氨氧化脱氮的可持续性。这项研究表明，具有空间限制的 3D 生物打印工程活性材料可以通过增强厌氧氨氧化细菌和反硝化菌之间的交叉喂养来实现完全脱氮。
5a181c40f1b32d4d,使用等离子体活化解锁 CO2 和 CO 电催化还原为 C3+ 碳氢化合物和含氧化合物的反应途径,实现 CO2 和 CO 高效电催化转化为高价值多碳产品仍然是一项重大挑战。现在，等离子体活化与铜上的电催化相结合，以实现未探索的反应途径，提高 C3+ 碳氢化合物和含氧化合物的生产率。
3821f2208e782cb4,用于甲烷直接氧化中高选择性 C-C 偶联的可切换单原子催化剂,将甲烷直接选择性转化为高附加值化工产品长期以来一直受到工业界和学术界的关注。由于需要 C-H 活化和 C-C 偶联，C2 含氧化合物的生产尤其具有挑战性。在这里，我们报道了一种带有Cu-B4位点的硼纳米片负载的Cu单原子（Cu-SAs/B），它可以有效催化甲烷转化为乙酸，选择性为97％，并且在不添加CO的情况下具有221.3 mmol gCu-1 h-1的高活性。原位X射线吸收精细结构分析表明，Cu单原子在CH4下经历可逆“转换”为Cu4簇氧化条件，实现有效的 C-H 活化和 C-C 偶联。原位光谱技术证实，这种开关行为是由 H2O2 的存在触发的，并且分别在 Cu 单原子和 Cu 簇上形成的 CH3* 和 CHO* 中间体之间发生偶联。这些发现为设计基于可切换纳米催化剂的高效甲烷氧化催化剂提供了概念证明。
e9e77d04278a28dc,从灌溉水到农田的氮输入的全球分析,灌溉作为农田活性氮的来源通常被忽视。然而，富含硝酸盐的灌溉水占全球农业氮预算的很大一部分，在施肥和灌溉策略中应予以考虑。
7e6a9f11ee6335a8,作者更正：树种丰富度与森林光合作用的长期增加有关,
9c8264ccf20e78f9,使用 Janus 钯膜电极进行定向异相氢化物转移可实现选择性 CO2 还原,电化学 CO2 还原通常受到质子耦合电子转移的限制，质子耦合电子转移本质上将 CO2 转化与竞争性 H2 析出反应交织在一起。在这里，我们介绍了一种 Janus 钯膜电极，它通过异质氢化物转移实现选择性 CO2 还原，从而规避质子耦合电子转移。该膜在空间上将氢气的生成与二氧化碳的还原分开，并独立地极化面向二氧化碳的界面，将渗透的氢原子转化为具有可调水度的 Pd-H 物质。该设计可维持从水到二氧化碳的定向氢化物通量，从而在温和的阴极极化下实现高度选择性的甲酸盐生产。我们在水性电解质中实现了出色的法拉第效率和周转频率，而同位素标记实验证实氢化物转移是主要的反应途径。连续的氢气输送可稳定电极的富氢表面，抑制 CO 的形成并实现稳定运行。该电极在水性电解质和完全非质子电解质中成功还原二氧化碳，为在质子介导的电催化之外获得非均相氢化物反应性提供了一条通用途径。
7e01e5c677112e10,"抗癌核苷类似物 5-氮杂胞苷生物合成过程中形成 1,3,5-三嗪核心的酶促骨架编辑反应",尽管临床使用了数十年，5-氮杂胞苷的生物合成来源仍然未知。现在，负责的基因簇已被确定，揭示了通过罕见的骨架编辑和非常规的硫胺素依赖性化学将三磷酸鸟苷转化为三嗪核碱基的酶。
