title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source,must_have_abstract,title_zh,abstract_zh,categories,stable_id
"Pathways towards a carbon-free energy system: Technological advances, policy barriers, and integrated decarbonization strategies",https://www.sciencedirect.com/science/article/pii/S0306261926012043?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128548,Praveen Barmavatu,,,,,实现无碳能源系统的途径：技术进步、政策障碍和综合脱碳战略,,,51963503cade59be
Global trade responses to shark finning regulations,https://www.nature.com/articles/s41467-026-75625-1,,Earth and environmental sciences : Nature Communications subject feeds,2026-07-31 00:00:00+00:00,,Gavin G. McDonald,,"Global shark mortality continues to rise despite increasing regulations aimed at limiting shark fishing and trade. Regulatory measures may influence shark product markets, but this relationship has been difficult to quantify because of fragmented and poorly resolved data. We present a global analysis evaluating the effects of domestic shark finning regulations on trade in shark products across 188 countries. Using causal inference methods and the Aquatic Resource Trade in Species database (2007–2020), we find weak and statistically insignificant effects of finning regulations on overall shark trade volumes. However, long-term trends suggest that countries adopting finning regulations tend to reduce exports, modestly increase imports, and maintain relatively stable domestic consumption. Our framework provides a broader approach for investigating the economic pathways and drivers of mortality associated with sharks and other traded wildlife species.",nature_html,,全球贸易对鱼翅法规的反应,尽管旨在限制鲨鱼捕捞和贸易的法规不断增加，但全球鲨鱼死亡率仍在持续上升。监管措施可能会影响鲨鱼产品市场，但由于数据分散且解析不佳，这种关系很难量化。我们提出了一项全球分析，评估国内鱼翅法规对 188 个国家鲨鱼产品贸易的影响。使用因果推理方法和物种水生资源贸易数据库（2007-2020），我们发现取翅法规对鲨鱼总贸易量的影响微弱且在统计上不显着。然而，长期趋势表明，采取融资监管的国家往往会减少出口，适度增加进口，并保持相对稳定的国内消费。我们的框架提供了更广泛的方法来调查与鲨鱼和其他贸易野生动物物种相关的经济途径和死亡驱动因素。,,24cef36e26a05c92
Intracellular ‘gobstoppers’ enable programmed cargo release,https://www.nature.com/articles/s41565-026-02231-z,,Nature Nanotechnology,2026-07-31 00:00:00+00:00,10.1038/s41565-026-02231-z,Christopher D. Snow,,"Living cells are engineered as microscale factories that grow programmable protein crystals with concentric layers, each capable of carrying distinct nanoscale cargo and dissolving sequentially to enable precisely timed, multi-stage payload release.",rss_nature,,细胞内的“gobstoppers”能够实现程序化的货物释放,活细胞被设计成微型工厂，生长具有同心层的可编程蛋白质晶体，每个同心层都能够携带不同的纳米级货物并按顺序溶解，以实现精确定时的多阶段有效负载释放。,,ac907383d7fa5ae5
Diffusion-like overpotentials from non-diffusion mechanisms in battery particles,https://www.nature.com/articles/s41560-026-02118-2,,Nature Energy,2026-07-31 00:00:00+00:00,10.1038/s41560-026-02118-2,Stephen Dongmin Kang,,Low-frequency electrochemical responses in lithium-ion battery electrodes are widely interpreted as signatures of solid-state lithium diffusion. Here the authors show that electrolyte penetration in porous cathode particles can generate similar diffusion-like behaviour independent of bulk diffusion.,rss_nature,,电池颗粒中非扩散机制的类扩散过电势,锂离子电池电极的低频电化学响应被广泛解释为固态锂扩散的特征。在这里，作者表明，电解质渗透到多孔阴极颗粒中可以产生类似的扩散行为，而与体扩散无关。,,7126aaaa4d73b74b
Valve-strain-enabled staged early warning of overheating-induced thermal runaway in LiFePO4 energy storage cells,https://www.sciencedirect.com/science/article/pii/S0306261926011803?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,,Zhirong Wang,,,,,阀门应变启用对 LiFePO4 储能电池过热引起的热失控进行阶段性预警,,,31dadc5fa40421be
The impact of solar photovoltaics on the energy-industry transition in the Nordic and Baltic countries,https://www.sciencedirect.com/science/article/pii/S0306261926011311?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128475,Christian Breyer,,,,,太阳能光伏发电对北欧和波罗的海国家能源产业转型的影响,,,0f89e76f10b4fade
Operando investigation of current density distribution in a large-area vanadium redox flow battery,https://www.sciencedirect.com/science/article/pii/S0306261926012134?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128557,Cong Yin,,,,,大面积钒氧化还原液流电池电流密度分布的操作研究,,,a6b7fdcb03afc390
Green hydrogen to power scheduling in a large power grid with network constraints,https://www.sciencedirect.com/science/article/pii/S0306261926010901?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128436,Mithulananthan Nadarajah,,,,,网络受限大电网绿氢发电调度,,,92a7e1514881da5b
"Lower speciation, not higher extinction, drove African megaherbivore diversity collapse",https://www.nature.com/articles/s41467-026-76105-2,,Earth and environmental sciences : Nature Communications subject feeds,2026-07-31 00:00:00+00:00,,Oscar Sanisidro,,"Today’s ecosystems are severely depleted in megaherbivores (≥ 1000 kg) and lack many of the ecological functions once provided by these landscape engineers. Whether attributed to humans or climate, prevailing views of megaherbivore decline have focused on size-biased extinction (i.e., higher extinction rates among the largest species) while neglecting the role of speciation rates. To fully contextualize the decline of African megaherbivores, we examine 23 million years (Myrs) of African ungulate diversification using neural network models. Starting around 7.2 million years ago (Ma), African ungulate faunas witnessed overall accelerations in speciation and extinction rates. While speciation plateaued after 3.6 Ma, extinction rates increased sharply at the onset of the Pleistocene (2.58 Ma), leading to widespread diversity losses across herbivore guilds. Yet, we find that extinction rates are intrinsically lower in large-size lineages and in larger species within families. High-crowned dentitions, which last longer under hard, abrasive diets, are also associated with a suppression of extinction rates. Importantly, speciation rates in the largest herbivores are intrinsically low, and in some lineages were suppressed in response to increasing aridification during the last 5 Myrs. Our findings highlight the macroevolutionary complexity behind megaherbivore decline, advancing understanding of biotic crises involving large-bodied taxa.",nature_html,,导致非洲巨型草食动物多样性崩溃的是较低的物种形成，而不是较高的灭绝,今天的生态系统中的大型食草动物（≥1000公斤）严重枯竭，并且缺乏这些景观工程师曾经提供的许多生态功能。无论是归因于人类还是气候，对巨型食草动物衰退的普遍看法都集中在体型偏大的灭绝上（即最大物种的灭绝率较高），而忽视了物种形成率的作用。为了充分了解非洲大型食草动物的衰落，我们使用神经网络模型研究了非洲有蹄类动物 2300 万年 (Myrs) 的多样化。从大约 720 万年前（Ma）开始，非洲有蹄类动物群见证了物种形成和灭绝速度的整体加速。虽然物种形成在 3.6 Ma 后趋于稳定，但在更新世（2.58 Ma）开始时灭绝率急剧上升，导致食草动物群体的多样性普遍丧失。然而，我们发现大型谱系和科内较大物种的灭绝率本质上较低。高冠牙列在坚硬、磨蚀性饮食下可以维持更长的时间，也与抑制灭绝率有关。重要的是，最大的食草动物的物种形成率本质上很低，并且在某些谱系中，由于过去 5 迈的干旱化加剧，物种形成率受到抑制。我们的研究结果强调了巨型食草动物衰退背后的宏观进化复杂性，增进了对涉及大型类群的生物危机的理解。,,b1ebb9b305dba6dd
Microbiota matter,https://www.nature.com/articles/s41563-026-02699-z,,Nature Materials,2026-07-31 00:00:00+00:00,10.1038/s41563-026-02699-z,Horacio Cabral,,"Gut microbiota shapes nanomedicine fate by regulating hepatic clearance, with implications for tumour delivery.",rss_nature,,微生物群物质,肠道微生物群通过调节肝脏清除率来塑造纳米药物的命运，并对肿瘤输送产生影响。,,86f45b2d13047c87
