stable_id,title_zh,abstract_zh
ce5d9e8740dd46e0,BRCA1-A 复合物限制 ATM 缺陷细胞中复制叉逆转依赖性 DNA 修复,共济失调毛细血管扩张突变 (ATM) 激酶缺陷会导致癌症易感性和药物过敏。 BRCA1 相互作用 A 复合物或 XRCC4/连接酶 4 的缺陷会导致 ATM 缺陷细胞对拓扑异构酶 I 或 PARP1 抑制剂产生耐药性。这表明 BRCA1-A 通过非法末端连接对 ATM 突变细胞中的叉损伤剂产生毒性。在这里，我们表明，ATM 抑制会触发 SUMO 和泛素介导的 BRCA1-A 受损叉识别相结合，以限制末端切除并引起拓扑异构酶 I 抑制剂超敏反应。 BRCA1-A 缺陷细胞在受损叉处显示出更高的染色质可及性和核酸酶活性，同时恢复了切除和耐药性。电子显微镜证据表明，ATM 抑制可防止复制叉逆转，而 BRCA1-A 丢失可恢复复制叉逆转，从而生成用于末端切除的底物。这些发现表明，BRCA1-A 强制限制性染色质状态来抑制切除底物的发生，表明叉逆转是 ATM 缺陷细胞化疗反应的关键决定因素。
79fa01b028b05eac,通过溢出-储存-弛豫氢化机制实现安培级乙炔制乙烯电合成克服活性选择性约束,电催化氢化反应（EHR）的活性和选择性之间的比例关系是由严重的析氢反应和过度氢化引起的，因为高电流密度下过量吸附的氢（*H）不可避免地会阻塞活性位点。在此，提出了溢出-存储-弛豫氢化机制来克服缩放关系。以乙炔（C 2 H 2 ）转化为乙烯（C 2 H 4 ）为例，理论上预测和实验证明，Cu负载原子分散WO x (WO x /Cu)具有丰富的界面*H形成Cu和*H储WO x位点，是一种有前景的催化剂。因此，合成了WO x /Cu，其C 2 H 4 部分电流密度约为1.43 A cm –2，C 2 H 4 法拉第效率高于95%。从Cu到WO x 的*H转移不仅释放了C 2 H 2 吸附位点，而且为后续加氢保留了氢源。此外，这种机制适用于其他 EHR 中的 Mo(W)O x /Cu(Ag)。
b5cab09dcaf24d0b,破译 Cl - 和 Br - 的卤化物化学以增强 Mg 电镀/剥离动力学,在有前景的可充电镁电池（RMB）中，虽然经验性地将Cl-添加到硼基电解质中可以优化Mg2+溶剂化结构和去溶剂化过程，但比较卤化物阴离子研究的缺乏阻碍了用于电解质设计的系统卤化物化学理论的发展。 Br- 具有与 Cl- 相当的中等溶解度和质量效率，优于 F- 和 I-，将其定位为解耦卤化物特性对反应动力学影响的理想平台，从而弥合了基本机理见解的关键差距。在此，利用苯基氟硼酸镁复合物（MPFBC）电解质，我们系统地合成了 MPFBC-Cl、MPFBC-Br 和对照电解质，以阐明 Cl- 和 Br- 如何影响从本体电解质到界面的 Mg 电镀/剥离动力学。具体而言，与 Cl- 相比，Br- 的电荷密度较低，离子半径较大，削弱了与 Mg2+ 的库仑相互作用，从而促进离子簇解离并提高体电导率。 Br-相对于Cl-具有更高的极化性和化学柔软性，驱动Mg界面处更强的特异性吸附，从而重建内亥姆霍兹平面并降低成核过电势。此外，Br- 促进 SEI 中 Mg-Br 物质的形成，从而加速 Mg2+ 穿过界面的传输。受益于多尺度修饰，Mg|MPFBC-Br|Mg 电池表现出改善的 Mg 电镀/剥离动力学，其证据是低过电势 (<220 mV) 和在 1.0 mA cm-2 下稳定循环 1000 小时，
f36bc89f56b0783b,铁氧化过程中 Fe3O 介导的氧化物生长的原子尺度洞察,铁 (Fe) 氧化代表了理解气固反应的原型系统，直接影响腐蚀科学、多相催化和氧化物异质结构设计。尽管氧化物构型和氧化途径已被广泛记录，但将气体表面反应与固态相变耦合的原子尺度结构动力学仍然有限。在这里，我们使用原位原子分辨率环境扫描透射电子显微镜 (ESTEM)，通过热退火制备原子级平坦的金属 α-Fe(001) 表面，并揭示了在 ESTEM 基础真空下冷却过程中从 Fe 到 Fe 3 O 4 的根本不同的氧化途径。我们证明亚稳态 Fe3O 在两种中间状态下发挥着动态持续的作用。首先，FeO 在低于 300 °C 的温度下在 Fe(001) 上成核，形成独特的纳米级岛，表现出截角锥体形貌。其次，在内部 FeO 转变为 Fe 3 O 4 的过程中，FeO 作为覆盖层保留在氧化物上，从而形成倒置的相层次结构 (FeO/Fe 3 O 4 /Fe)。 FeO 层为 Fe 扩散提供了一条活跃的途径，它们的生长和转变主导了随后的氧化物膨胀​​。尽管 FeO 在氧化物的 (001) 和 {111} 表面上具有不同的生长行为，但它们的相变是由共同的基本单元驱动的。在结构上，FeO 到 Fe 3 O 4 的转变是通过八面体 Fe 易位到四面体位点并伴随向外扩散来实现的。这项工作揭示了控制耦合表面的原子尺度动力学
5ea79d02d38dacaf,二维 Rashba 超导体中高阶范霍夫奇点的本征稳定性,二维 (2D) 系统中的电子相关性受到范霍夫奇点的强烈控制，范霍夫奇点会产生态密度发散并增强相关效应。尽管高阶范霍夫奇点（HOVHS）通常与需要外部调谐的工程能带结构相关，但它们在现实晶体材料中的内在出现在很大程度上仍未被探索。我们报告了一种界面驱动机制，该机制本质上稳定了在 Si(111) 上外延生长的原子薄 Pb 单层中的 II 型 HOVHS（出现在布里渊区的不规则点）。结合角度分辨光电子能谱、扫描隧道光谱和最先进的从头计算，我们证明了 HOVHS 形成于拉什巴分裂表面态内的费米能级附近，并产生超过传统鞍点的明显的态密度幂律发散。我们证明 HOVHS 的产生无需任何外部控制，并且通过 Pb/Si 界面处的强自旋轨道耦合和轨道杂化而稳定。我们的结果建立了一种界面驱动机制，用于在自旋轨道耦合二维超导体中生成 HOVHS。
0082024b0a48fe14,统计人工智能实现多元素催化剂的精确筛选,合成材料的复杂结构与其简化的计算模型之间的差异导致理论计算和实验性能之间的偏差。为了缩小这一差距，我们引入了统计描述符 φ，它被定义为给定元素组合中高活性配置的比例。通过考虑多个结构的活性分布而不是依赖于单一模型结构，φ可以更准确地量化宏观催化活性。使用 Seq-Equiformer 模型（我们通过使用 LSTM 增强 EquiformerV2 来捕获析氧反应过程中的动态结构变化而开发的图神经网络），我们预测了 3d 过渡金属掺杂 CoOOH 的 2.5 亿个结构的超电势。基于这些预测，计算每个元素组合的 φ 值，并确定具有最高 φ 值的六种最佳掺杂剂组合。对于领先的 MnFeNiCu 组合，贝叶斯优化驱动的 AI 实验进一步优化了元素比例。仅经过 40 次实验迭代，探索了 0.44% 的搜索空间，就确定了催化剂 Mn0.07Fe0.09Ni0.14Cu0.01Co0.69OOH，在 100 mA cm-2 下提供 246.5 mV 的过电势，并在 1 A cm-2 下在 1000 小时内保持 98.5% 的活性。在验证中，统计描述符在识别顶级催化剂方面达到了 80% 的准确率，比基于最佳配置评估元素组合的单结构筛选提高了 30%。统计建模、机器学习的集成
de40a95aa9a31bab,光谱选择性 c-Si 农用光伏模块：评估新方法,
9f66c8a229a21144,使用贝叶斯优化的 LSTM-XGBoost 融合模型预测汽车 PEMFC 堆栈的高频电阻,
c8dc78daeefa1a87,海上混合风浪能转换系统的稳态动力学,
2c2fad91236b6aff,多工况下质子交换膜水电解膜电极组件的动态降解机理,
