stable_id,title_zh,abstract_zh
b32f16b4d5b41037,解耦太阳反射与热发射实现用于建筑节能的深亚环境辐射制冷,一种白色红外透明气凝胶在抑制寄生热增益的同时解耦了太阳反射与热发射，实现了深度低于环境温度的冷却，并在不同气候条件下提升了建筑节能效果。
1b830f8fa2a3896e,配体工程化纳米晶种子实现反式钙钛矿太阳能电池27.07%的认证稳态效率,经合理设计的配体修饰的CsPbI3纳米晶种子触发异相成核，制备出低缺陷的反式钙钛矿薄膜，实现了认证的27.07%稳态效率并提升了器件稳定性。
c868be915287cd45,CeO2上协同Rh1–Ru1异核双单原子位点用于芳香液体有机储氢载体的加速深度加氢,CeO2负载的Rh–Ru双原子催化剂在温和条件下可高效加氢多种液体有机储氢载体。Rh–Ru协同作用增强了底物活化与氢转移，使其在80 °C和2–4 MPa H2条件下表现出高活性。
310856e14f8fc6f7,钙钛矿光伏中物理可解释的闭环优化与可解释工艺洞察,一种机器学习驱动的贝叶斯优化框架高效优化了钙钛矿太阳能电池的工艺，提升了光伏性能，并揭示了关键的工艺-性能关系。
852d4944093e4fbe,从Si到SiOx：通过抑制裂纹和被困Li实现全固态电池负极的范式转变,本工作揭示了SiOx负极在ASSB体系中的演化机制，并为理性设计负极建立了设计原则。
9b140b4c7df5cfe4,钙钛矿中化学键依赖的降解行为,脆弱的铅–卤键与阳离子–晶格库仑相互作用限制了钙钛矿的晶格稳定性。通过Sn掺杂的键工程策略加固了该骨架，有效提升了晶格稳定性。
bc45b3d88bf96d70,可推广的动态-刚性溶剂化化学实现超低温钠离子电池的温度依赖SEI,普适性动态-刚性溶剂化化学用于超低温钠离子存储。
dd0f55d3cbdbd9c9,协同耦合增强与畸变抑制实现17.7%效率的CsPbI3量子点太阳能电池开发,原位非侵入性封端策略利用乙酰乙酸苯酯促进更深度的油酸酯-至-乙酸酯配体交换，同时保持CsPbI 3量子点的立方结构，使太阳能电池实现17.66%的效率（认证效率17.07%）。
729c942b291e4a70,通过operando X射线吸收光谱在工业级零间隙水电解槽中洞察Ir动力学,同步辐射兼容的水电解槽能够在≥2 A cm −2的纯水供给工业相关系统中，在工况条件下追踪Ir的氧化还原动力学，揭示了与催化剂耐久性相关的间歇运行行为。
10397f77f3c26bcd,使用绿色溶剂制备高效钙钛矿太阳能电池的预测方法,该研究引入了一种半经验方法来鉴定用于加工钙钛矿太阳能电池的绿色溶剂，证明此类溶剂在改善环境和安全性的同时能够实现令人期待的器件性能。
78ba17a186b890b1,竞争性异阳离子配位实现无负极钠电池耐用的分层界面,在相同阴离子电解液中，异质Li +通过竞争性配位调节Na +溶剂化，实现了富Na/富LiF的梯度界面相形成，以及无负极钠电池中高度可逆的Na沉积/剥离。
915b8f651edbb81a,动力学耦合衍生界面用于极端电池,平衡的界面动力学能够实现及时的初始钝化，同时限制过度的界面相生长。因此，界面富集与还原反应之间的动力学匹配使得在石墨上能够形成可持续的SEI。
33eabbc4e3808dfa,在晶态多孔有机框架中工程化多组分协同作用：生物分子整合的新范式,本综述确立了多组分协同作为生物分子整合于晶态多孔有机框架中的新范式。
470efcf35057ecb8,共价有机框架的电子结构调控实现电子离域和轨道耦合，用于快速动力学和耐久型锌–碘电池,中心单元电子结构工程增强了碘吸附，加速了氧化还原动力学，提高了碘转化效率，并使基于双电子和四电子碘化学的Zn–I2电池实现稳定循环。
edd08cab7e38535e,过渡金属催化烯烃的对映选择性碳胺化反应,本综述重点介绍了对映选择性烯烃碳胺化反应的发展，追溯了从Pd/Rh介导的有机金属循环到由地球丰产金属（Co、Ni、Cu和Fe）催化的多样化策略的机理范式。
32ccd850b1967b5b,用于水净化的杂环共价有机框架膜,本综述全面概述了用于水处理的HC-COFMs，涵盖设计、理化性质、制备策略和应用，同时概述了下一代膜面临的挑战和未来方向。
b64252028e3db019,多金属氧酸盐杂化金属纳米粒子在催化中的应用,本综述重点介绍了最新进展，并为多金属氧酸盐杂化金属纳米粒子在催化、能量转换及相关应用领域提供了全面的框架。
6d2a564ce16c6cce,开链和环状氮烯离子：生成、表征、结构与（生物）化学反应性,氮烯离子是包含开链和环状系统的缺电子氮物种，具有多样的生成途径、电子结构、反应性、催化作用、光谱与结构特征以及（生物）化学意义。
d3e189b31d2d418d,溶解度引导的层间设计实现石榴石固态电池中平衡的锂金属沉积和剥离,一种溶解度引导的设计策略将锂层间溶解度与沉积-剥离行为相关联，识别出能够平衡均匀成核与无空洞剥离的材料。
7527bc92fcc775ca,二维磁性材料的耦合、裁剪与应用,本综述介绍了二维磁性材料家族，总结了其磁耦合机制和多场调控策略，并讨论了在自旋电子学、量子器件、类脑计算中的应用及面临的挑战。
3748062db28dda16,单原子催化剂促进自由基介导的有机合成,单原子催化剂为自由基介导的有机合成提供了孤立且可调的金属位点，实现了高效的自由基生成、选择性转化和可持续催化方法。
