title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Correction to “Enhancing Radiofrequency Ablation for Hepatocellular Carcinoma: Nano‐Epidrug Effects on Immune Modulation and Antigenicity Restoration”,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.74696?af=R,Wiley: Advanced Materials: Table of Contents,2026-08-19 10:19:41 UTC,2026-08-19 10:19:41+00:00,10.1002/adma.74696,,"X. Li, Y. Liu, J. Ke, et al., “Enhancing Radiofrequency Ablation for Hepatocellular Carcinoma: Nano-Epidrug Effects on Immune Modulation and Antigenicity Restoration,” Advanced Materials, 36, no. 52, (2024): e2414365, https://doi.org/10.1002/adma.202414365. 1. The value “5 mm” for the thickness of H&E-stained sections stated in the Supporting Information is incorrect; the correct thickness is 5 µm. 2. The descriptions of C57BL/6 and C57BL/6N mouse strains in the main text and Supporting Information are typographical errors. All in vivo experiments were performed using BALB/c mice. We apologize for these errors.",openalex,1
Surface-Engineered Poly(ethylene oxide)-Grafted Quantum Dot Inks for Green-Solvent-Processed Electroluminescent Devices,https://pubs.acs.org/aamick/article/doi/10.1021/acsami.6c10538/5278429/Surface-Engineered-Poly-ethylene-oxide-Grafted,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-08-20 00:00:00 UTC,2026-08-20 00:00:00+00:00,10.1021/acsami.6c10538,Soo-Hyung Choi,"Abstract Quantum dots (QDs) are promising emissive materials for next-generation optoelectronics, but conventional oleic acid (OA) capping necessitates toxic, nonpolar solvents such as toluene and chloroform, hindering environmentally sustainable solvent-based processing. Here, we report a green, solution-processable ligand-exchange strategy in which thiol-terminated poly(ethylene oxide) (PEO-SH) replaces OA on QDs, enabling stable dispersion in ethanol and water. By tuning the molecular weight of PEO, we identify PEO with Mn ≈ 2000 g/mol as an optimal ligand that provides a balanced combination of chain length and surface coverage, resulting in long-term colloidal stability and high photoluminescence quantum yield in polar media. Using these QD-PEO2k inks, we fabricate multilayer quantum dot light-emitting diodes (QLEDs) from ethanol and water/ethanol co-solvents, achieving a maximum external quantum efficiency of 2.12% and a current efficiency of 9.19 cd A–1. These results successfully serve as a proof-of-concept for generating functional electroluminescence from water/alcohol-based QD inks. Ultimately, this work establishes a foundational step toward reducing toxic solvent dependency and advancing sustainable manufacturing in solution-processed optoelectronics.",crossref,0
A Flexible Hydrogel-Based Dual-Modal Sensor System for Intelligent Mechanical Gripping and Wearable Gesture Recognition,https://pubs.acs.org/aamick/article/doi/10.1021/acsami.6c11003/5278412/A-Flexible-Hydrogel-Based-Dual-Modal-Sensor-System,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-08-20 00:00:00 UTC,2026-08-20 00:00:00+00:00,10.1021/acsami.6c11003,Xianjuan Pang,"Abstract The triboelectric nanogenerator (TENG) enables efficient mechanical-to-electrical energy conversion, offering green self-powered solutions for flexible electronics and microdevices. However, many TENG-based flexible sensors only support single-signal acquisition, failing to satisfy multimodal sensing requirements. In this work, a flexible sensor with a dual-sensing mechanism is developed, employing PVA/CS hydrogel as the triboelectric layer and PVA/CS/GL hydrogel as the electrode layer. By using TiO2-incorporated silicone rubber as the counter triboelectric layer, the output performance of the device is effectively improved. The optimal incorporation mass ratio and particle size of TiO2 were systematically investigated, and the output voltage reached 248 V. Further introduction of a charge trapping layer enhanced the output signal by 57%. On the basis of the above performance optimization, an encapsulated structured TENG device was fabricated and integrated into a mechanical gripper, enabling the recognition of both the surface material and the mass of objects by combining triboelectric signals and resistance variation of the hydrogel electrode layer. Additionally, the device serves as a motion sensor for hand gesture monitoring. Based on the collected motion signals, machine learning-based classification achieves a recognition accuracy of up to 97.5%. This study provides a promising strategy for flexible sensing, human–machine interaction, and smart wearable applications.",crossref,0
"Large-scale optically active nanomaterials: Synthesis, structural modulation, and functional integration",https://www.cell.com/matter/fulltext/S2590-2385(26)00335-8?rss=yes,Matter,2026-08-20 00:00:00 UTC,2026-08-20 00:00:00+00:00,10.1016/j.matt.2026.102972,Wei Ma,"Large-scale optically active nanomaterials have attracted considerable attention because of their enhanced chiroptical responses and broad application potential. This review systematically summarizes recent advances in their fabrication strategies, structural regulation, and functional applications, and highlights the relationships between structural parameters and optical activity. It also outlines current challenges and potential directions for the further development of optically active nanomaterials.",rss_cell,0
Multidimensional chiroptical physical unclonable functions based on chiral photonic crystal film,https://www.cell.com/matter/fulltext/S2590-2385(26)00337-1?rss=yes,Matter,2026-08-20 00:00:00 UTC,2026-08-20 00:00:00+00:00,10.1016/j.matt.2026.102974,Pengfei Duan,"Random optical labels often face limitations arising from restricted encoding dimensions or the need for complex readout systems. Chiral photonic crystal films generate multidimensional optical fingerprints that integrate conventional optical features with polarization-state information, enabling high-entropy and readily verifiable authentication for next-generation information security applications.",rss_cell,0
On-chip broadband magnonic frequency combs based on multi-tone excitation,https://www.nature.com/articles/s41928-026-01686-1,Nature Electronics,2026-08-20 00:00:00 UTC,2026-08-20 00:00:00+00:00,10.1038/s41928-026-01686-1,Huajun Qin,A multi-tone excitation technique can be used to generate octave-spanning magnonic frequency combs with thousands of lines in continuous yttrium iron garnet thin films.,rss_nature,0
QuantumPioneer: Scalable Generation of Quantum Chemical Data for Solution-Phase Hydrogen Transfer Reactions,https://pubs.acs.org/jacsat/article/doi/10.1021/jacs.6c10371/5277249/QuantumPioneer-Scalable-Generation-of-Quantum,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-08-20 00:00:00 UTC,2026-08-20 00:00:00+00:00,10.1021/jacs.6c10371,William H. Green,"Abstract High-fidelity quantum chemical (QM) data sets that jointly resolve reaction thermochemistry, kinetics, and solvation at scale remain scarce, especially for radical chemistry. We introduce QuantumPioneer, an open-access reaction-centered QM database and workflow for small organic molecules, focused on peroxyl-mediated hydrogen atom transfer (HAT) and the corresponding homolytic bond dissociation reactions. QuantumPioneer contains 348,258 species (2–21 heavy atoms), 167,237 validated HAT transition states (TS) with corresponding reaction energies and homolytic bond dissociation energies (BDEs), and over 100 million COSMO-RS solvation free energies(ΔGsolv*) and enthalpies (ΔHsolv*) across 295 solvents. The workflow uses ωB97X-D/def2-SVP geometries, DLPNO–CCSD(T)-F12d/cc-pVTZ-F12 single-point energies, empirical thermochemical corrections, transition-state theory, and COSMO-RS BP-TZVPD-FINE solvation in a single high-throughput pipeline. Our benchmarks show reliable accuracy, with mean absolute errors (MAEs) compared to experimental and high-level QM reference data of 0.82 kcal/mol for gas-phase enthalpies of formation, 1.60 kcal/mol for C–H BDEs, 1.45 kcal/mol for HAT barriers, and 0.57 kcal/mol for ΔGsolv* values. We demonstrate two predictive applications. First, we show that combining BDE and HAT-barrier models identifies experimentally observed oxidative degradation sites in drug-like molecules with a 91% top-5 hit rate and 82% site-level recall. Second, we show that a QM-parametrized Abraham model enables rapid solvation energy estimates at near-COSMO-RS accuracy within its training domain, reproducing computed ΔGsolv* and ΔHsolv* values with MAEs of 0.16 and 0.18 kcal/mol, respectively, though performance on experimental ΔGsolv*values for unseen solutes was worse, with an MAE of 1.32 kcal/mol. This work provides a scalable template for other reaction families, unifying equilibrium species, validated TS, thermochemistry, kinetics, and solvation into one workflow.",crossref,0
Catalytic Enantioselective Aziridination of Z -Disubstituted Alkenes with Aspartyl β-Turn-Based Dirhodium(II) Metallopeptides and Assessment of Catalyst Scaffold Versatility,https://pubs.acs.org/jacsat/article/doi/10.1021/jacs.6c10875/5277250/Catalytic-Enantioselective-Aziridination-of-Z,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-08-20 00:00:00 UTC,2026-08-20 00:00:00+00:00,10.1021/jacs.6c10875,Scott J. Miller,"Abstract We report an enantioselective aziridination of open-chain Z-disubstituted alkenes, enabled by a dirhodium(II) metallopeptide featuring finely tuned, β-turn-biased peptidyl ligands. This method affords cis-aziridines in up to 99:1 er and exhibits broad tolerance toward diverse aryl substitution patterns and peripheral functional groups. In conjunction, we explore a data science model that uncovers patterns in molecular features that reflect enantioselectivity across two nitrene transfer reactions catalyzed by dirhodium(II) metallopeptides: the aziridination reported here and a related benzylic amination reaction. This model is trained on molecular descriptors of both catalysts and substrates and used to interpret the differences between the two reactions. By linking a new synthetic methodology to cross-reaction, data science-driven modeling, this study offers both an efficient route to valuable aziridine scaffolds and a framework for analyzing enantioinduction across mechanistically diverse transformations.",crossref,0
Nanobubble Radical-Driven N2 Hydrogenation for Sustainable Ammonia Production: A Haber-Bosch Alternative under Mild Conditions,https://pubs.acs.org/jacsat/article/doi/10.1021/jacs.6c06081/5278533/Nanobubble-Radical-Driven-N2-Hydrogenation-for,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-08-20 00:00:00 UTC,2026-08-20 00:00:00+00:00,10.1021/jacs.6c06081,Guanglu Ge,"Abstract Ammonia is a cornerstone for global agriculture and promising renewable energy storage, yet its production through the conventional Haber-Bosch process accounts for nearly 2% of worldwide energy consumption, underscoring the urgent need for sustainable alternatives. Recent advances in interfacial chemistry, such as droplet-assisted reactions, have demonstrated unique reactivity in confined environments under mild conditions. However, many of these approaches rely on hydroxyl radicals and exhibit limited selectivity toward oxygen-free hydrogen-rich products like ammonia. Here, we report a catalyst-free nitrogen fixation strategy that achieves high ammonia selectivity (∼60%) using nanobubble-driven radical chemistry at ambient temperature and pressure. By harnessing the cavitation-decoupled N2/H2 nanobubbles collapsing in water, our system enables spontaneous nitrogen fixation with an optimized ammonia yield of ∼0.24 mg·L−1 achieved through 30 min nanobubble generation and subsequent 24 h standing, driven primarily by hydrogen radicals in a mechanism reminiscent of confined implosion. This collapse generates localized transient extremes of temperature and pressure, which promotes the formation of reactive hydrogen radicals. The high chemical potential of these radicals (∼2.3 eV) directly supplies the energy required for N≡N bond activation, eliminating the need for catalysts and external energy input. Beyond offering a scalable and energy-efficient route to green ammonia synthesis, this study provides mechanistic insight into prebiotic nitrogen-fixation pathways. The approach aligns with the global transition toward decentralized, low-carbon chemical production and contributes to a sustainable future for both energy and agriculture.",crossref,0
Architectural Evolution Unlocks the Functional Potential of Buried Sites in Covalent Organic Frameworks,https://pubs.acs.org/jacsat/article/doi/10.1021/jacs.6c11748/5278511/Architectural-Evolution-Unlocks-the-Functional,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-08-20 00:00:00 UTC,2026-08-20 00:00:00+00:00,10.1021/jacs.6c11748,Cheng-Yong Su,"Abstract In covalent organic frameworks (COFs), how framework architecture regulates the functional accessibility of chemically present yet spatially confined sites remains poorly understood. Here, by subtly modifying one building unit, we synthesized three chemically related imine-linked COFs that span an architectural sequence from layered 2D kgm and 2D sql frameworks to an entangled 3D sql framework. This architectural evolution disrupts extended planar packing, reduces confinement around the imine linkages, and generates an interconnected, water-accessible pore network. Consistent with these architectural features, the entangled 3D COF exhibits a proton conductivity approximately 5 orders of magnitude higher than those of the two layered analogues, despite only a modest increase in total water uptake. Subsequent mild oxidation of imine linkages to amide linkages further enhanced proton transport while largely preserving the crystallinity of the entangled framework. This work demonstrates that architectural evolution can activate the latent functionality of buried polar linkages, providing a design principle for functional porous materials.",crossref,0
